Trap ID;Daughter;Cell cycle time (min)
112;14;119
112;15;128
112;16;136
112;17;178
112;18;179
112;19;586
113;0;
113;1;93
113;2;85
113;3;102
113;4;94
113;5;93
113;6;85
113;7;102
113;8;94
113;9;93
113;10;119
113;11;128
113;12;153
113;13;127
113;14;136
113;15;187
113;16;204
113;17;238
115;0;
115;1;76
115;2;85
115;3;85
115;4;77
115;5;102
115;6;93
115;7;77
115;8;102
115;9;93
115;10;85
115;11;111
115;12;170
115;13;153
116;0;
116;1;76
116;2;69
116;3;85
116;4;76
116;5;77
116;6;68
116;7;76
116;8;77
116;9;76
116;10;85
116;11;85
116;12;102
116;13;111
116;14;102
116;15;136
116;16;187
124;0;
124;1;68
124;2;85
124;3;85
124;4;93
124;5;94
124;6;93
124;7;102
124;8;136
124;9;374
124;10;1190
125;0;
125;1;76
125;2;94
125;3;110
125;4;85
125;5;128
125;6;110
125;7;119
125;8;255
125;9;867
130;0;
130;1;77
130;2;85
130;3;94
130;4;93
130;5;119
130;6;315
134;0;
134;1;85
134;2;85
134;3;68
134;4;77
134;5;76
134;6;85
134;7;94
134;8;85
134;9;161
134;10;264
137;0;
137;1;94
137;2;110
137;3;94
137;4;76
137;5;94
137;6;85
137;7;76
137;8;94
137;9;144
137;10;111
137;11;170
137;12;85
137;13;85
137;14;306
137;15;450
137;16;1496
139;0;
139;1;76
139;2;94
139;3;85
139;4;76
139;5;94
139;6;93
139;7;94
139;8;102
139;9;110
139;10;238
139;11;1046
141;0;
141;1;68
141;2;85
141;3;85
141;4;85
141;5;85
141;6;94
141;7;102
141;8;136
141;9;119
141;10;102
141;11;136
141;12;399
141;13;247
141;14;195
141;15;247
141;16;238
141;17;331
141;18;196
141;19;204
142;0;
142;1;68
142;2;68
142;3;68
142;4;77
142;5;68
142;6;85
142;7;93
142;8;60
142;9;76
142;10;85
142;11;102
142;12;153
142;13;213
143;0;
143;1;85
143;2;102
143;3;77
143;4;85
143;5;76
143;6;94
143;7;102
143;8;93
143;9;94
143;10;102
143;11;93
143;12;85
143;13;94
143;14;93
143;15;102
143;16;102
143;17;102
143;18;102
143;19;102
143;20;119
143;21;94
143;22;127
143;23;102
143;24;94
143;25;110
143;26;128
143;27;102
143;28;127
143;29;153
143;30;264
143;31;586
145;0;
145;1;86
145;2;76
145;3;68
145;4;68
145;5;77
145;6;93
145;7;77
145;8;76
145;9;85
145;10;77
145;11;85
145;12;93
145;13;77
145;14;93
145;15;102
145;16;102
145;17;128
145;18;102
145;19;102
145;20;102
145;21;68
145;22;102
145;23;127
145;24;145
145;25;144
145;26;264
145;27;246
145;28;612
145;29;400
146;0;
146;1;77
146;2;68
146;3;93
146;4;102
146;5;119
146;6;111
146;7;119
146;8;178
146;9;357
146;10;578
148;0;
148;1;77
148;2;68
148;3;68
148;4;76
148;5;77
148;6;85
148;7;76
148;8;77
148;9;93
148;10;85
148;11;94
148;12;93
148;13;77
148;14;85
148;15;68
148;16;85
148;17;119
148;18;127
148;19;119
148;20;119
149;0;
149;1;77
149;2;76
149;3;85
149;4;102
149;5;119
149;6;170
149;7;136
149;8;102
153;0;
153;1;77
153;2;76
153;3;68
153;4;77
153;5;85
153;6;76
153;7;94
153;8;102
153;9;161
153;10;255
155;0;
155;1;77
155;2;76
155;3;68
155;4;77
155;5;76
155;6;77
155;7;76
155;8;85
155;9;85
155;10;85
155;11;94
155;12;110
155;13;145
155;14;85
155;15;102
155;16;93
155;17;145
155;18;153
155;19;323
157;0;
157;1;153
157;2;170
157;3;238
157;4;314
157;5;179
157;6;272
157;7;272
157;8;263
157;9;629
157;10;672
157;11;671
157;12;221
157;13;162
158;0;
158;1;94
158;2;85
158;3;119
158;4;128
158;5;102
158;6;161
158;7;264
158;8;348
161;0;
161;1;93
161;2;85
161;3;85
161;4;77
161;5;93
161;6;94
161;7;93
161;8;102
161;9;111
161;10;178
161;11;264
161;12;816
162;0;
162;1;76
162;2;102
162;3;85
162;4;77
162;5;102
162;6;76
162;7;111
162;8;76
162;9;102
162;10;94
162;11;93
162;12;94
162;13;102
162;14;93
162;15;102
162;16;94
162;17;93
162;18;102
162;19;111
162;20;119
162;21;102
162;22;119
162;23;110
162;24;94
162;25;93
162;26;119
162;27;111
162;28;136
162;29;153
162;30;263
167;0;
167;1;85
167;2;85
167;3;93
167;4;102
167;5;128
167;6;93
167;7;77
167;8;93
167;9;102
167;10;85
167;11;119
167;12;111
167;13;76
167;14;111
167;15;93
167;16;136
167;17;94
167;18;85
167;19;76
167;20;94
167;21;110
167;22;102
167;23;94
167;24;153
167;25;136
167;26;518
169;0;
169;1;77
169;2;85
169;3;85
169;4;68
169;5;110
169;6;77
169;7;93
169;8;102
169;9;102
169;10;94
169;11;93
169;12;102
169;13;111
169;14;110
169;15;145
169;16;127
170;0;
170;1;60
170;2;76
170;3;68
170;4;77
170;5;76
170;6;77
170;7;85
170;8;76
170;9;94
170;10;102
170;11;110
170;12;85
170;13;102
170;14;94
170;15;110
170;16;128
170;17;102
170;18;144
170;19;102
172;0;
172;1;102
172;2;102
172;3;119
172;4;102
172;5;102
172;6;77
172;7;93
172;8;77
172;9;76
172;10;77
172;11;93
172;12;111
172;13;93
172;14;111
172;15;110
172;16;111
172;17;136
172;18;178
172;19;213
172;20;246
175;0;
175;1;102
175;2;85
175;3;77
175;4;93
175;5;77
175;6;93
175;7;102
175;8;111
175;9;102
175;10;93
175;11;153
175;12;170
175;13;196
175;14;493
177;0;
177;1;85
177;2;93
177;3;77
177;4;85
177;5;102
177;6;110
177;7;136
177;8;136
177;9;128
177;10;229
177;11;298
177;12;178
177;13;221
177;14;187
177;15;510
177;16;281
177;17;297
177;18;510
177;19;527
178;0;
178;1;77
178;2;76
178;3;77
178;4;76
178;5;68
178;6;85
178;7;94
178;8;76
178;9;68
178;10;77
178;11;93
178;12;77
178;13;85
178;14;102
178;15;110
178;16;170
178;17;162
178;18;212
178;19;281
178;20;306
178;21;255
178;22;476
178;23;272
178;24;323
179;0;
179;1;77
179;2;76
179;3;68
179;4;85
179;5;77
179;6;102
179;7;76
179;8;77
179;9;76
179;10;94
179;11;85
179;12;85
179;13;93
179;14;94
179;15;93
179;16;85
179;17;94
179;18;93
179;19;94
179;20;93
179;21;94
179;22;85
179;23;93
179;24;111
179;25;119
179;26;119
179;27;187
179;28;255
179;29;646
179;30;1020
182;0;
182;1;76
182;2;85
182;3;85
182;4;102
182;5;85
182;6;111
182;7;102
182;8;93
182;9;111
182;10;85
182;11;93
182;12;85
182;13;102
182;14;94
182;15;93
182;16;102
182;17;153
182;18;213
185;0;
185;1;69
185;2;59
185;3;60
185;4;68
185;5;68
185;6;68
185;7;68
185;8;68
185;9;76
185;10;68
185;11;77
185;12;76
185;13;77
185;14;68
185;15;85
185;16;85
185;17;85
185;18;93
185;19;85
185;20;94
185;21;85
185;22;93
185;23;85
185;24;94
185;25;93
185;26;85
185;27;85
185;28;119
185;29;136
185;30;204
186;0;
186;1;68
186;2;85
186;3;85
186;4;85
186;5;85
186;6;94
186;7;93
186;8;77
186;9;85
186;10;102
186;11;85
186;12;93
186;13;85
186;14;94
186;15;136
186;16;153
186;17;170
186;18;229
186;19;621
187;0;
187;1;77
187;2;68
187;3;76
187;4;77
187;5;68
187;6;76
187;7;77
187;8;110
187;9;119
187;10;119
187;11;281
192;0;
192;1;85
192;2;77
192;3;68
192;4;85
192;5;68
192;6;76
192;7;77
192;8;76
192;9;68
192;10;85
192;11;77
192;12;93
192;13;94
192;14;178
192;15;672
192;16;858
197;0;
197;1;86
197;2;76
197;3;85
197;4;68
197;5;77
197;6;85
197;7;76
197;8;68
197;9;85
197;10;85
197;11;94
197;12;110
197;13;111
197;14;348
209;0;
209;1;86
209;2;76
209;3;77
209;4;85
209;5;119
214;0;-477
214;1;86
214;2;102
214;3;76
214;4;77
214;5;85
214;6;76
214;7;85
214;8;68
214;9;94
214;10;68
214;11;93
214;12;77
214;13;76
214;14;77
214;15;93
214;16;102
214;17;111
214;18;144
215;0;
215;1;77
215;2;77
215;3;68
215;4;68
215;5;93
215;6;119
215;7;595
215;8;281
218;0;
218;1;68
218;2;77
218;3;76
218;4;77
218;5;76
218;6;77
218;7;68
218;8;76
218;9;94
218;10;93
218;11;94
218;12;110
218;13;111
218;14;119
218;15;102
218;16;153
218;17;459
218;18;807
220;0;
220;1;77
220;2;68
220;3;77
220;4;76
220;5;77
220;6;76
220;7;85
220;8;102
220;9;187
220;10;179
220;11;170
222;0;
222;1;77
222;2;85
222;3;68
222;4;68
222;5;85
222;6;85
222;7;85
222;8;85
222;9;93
222;10;85
222;11;442
222;12;1173
222;13;663
223;0;
223;1;77
223;2;85
223;3;93
223;4;94
223;5;76
223;6;85
223;7;94
223;8;93
223;9;85
223;10;85
223;11;94
223;12;76
223;13;111
223;14;102
223;15;144
223;16;111
223;17;110
223;18;128
223;19;110
223;20;221
223;21;799
230;0;
230;1;85
230;2;102
230;3;68
230;4;85
230;5;77
230;6;85
230;7;76
230;8;68
230;9;94
230;10;85
230;11;93
230;12;85
230;13;111
230;14;110
230;15;111
230;16;136
230;17;246
230;18;391
230;19;527
231;0;
231;1;76
231;2;77
231;3;85
231;4;68
231;5;77
231;6;76
231;7;77
231;8;76
231;9;85
231;10;85
231;11;136
231;12;102
231;13;102
231;14;136
231;15;230
231;16;170
231;17;170
231;18;153
231;19;144
231;20;247
231;21;510
231;22;238
231;23;204
231;24;221
231;25;527
231;26;357
231;27;391
232;0;
232;1;76
232;2;85
232;3;77
232;4;85
232;5;85
232;6;127
232;7;85
232;8;94
232;9;85
232;10;102
232;11;136
232;12;195
232;13;349
237;0;
237;1;85
237;2;77
237;3;76
237;4;85
237;5;77
237;6;93
237;7;94
237;8;93
237;9;85
237;10;94
237;11;119
237;12;102
237;13;102
237;14;110
238;0;
238;1;68
238;2;85
238;3;77
238;4;76
238;5;77
238;6;76
238;7;85
238;8;102
238;9;85
238;10;119
238;11;136
