No escape,Age-independant escape,Age-dependant escape
16,37.0,19.0
39,24.0,35.0
26,14.0,20.0
25,16.0,15.0
37,33.0,22.0
35,13.0,16.0
35,16.0,27.0
6,24.0,31.0
20,40.0,4.0
17,61.0,7.0
34,7.0,13.0
31,32.0,15.0
27,15.0,15.0
56,12.0,12.0
25,21.0,6.0
10,21.0,25.0
6,15.0,26.0
40,35.0,37.0
13,16.0,6.0
10,32.0,14.0
39,23.0,22.0
9,24.0,18.0
7,22.0,24.0
4,21.0,35.0
15,36.0,15.0
13,39.0,13.0
20,43.0,16.0
37,32.0,25.0
13,31.0,18.0
15,41.0,7.0
5,21.0,23.0
35,50.0,15.0
45,10.0,10.0
32,13.0,15.0
29,24.0,12.0
13,4.0,21.0
10,29.0,9.0
16,21.0,29.0
15,51.0,22.0
5,20.0,32.0
9,34.0,24.0
15,33.0,10.0
26,26.0,15.0
40,22.0,22.0
43,19.0,21.0
29,28.0,36.0
25,17.0,20.0
20,47.0,11.0
19,10.0,18.0
25,47.0,31.0
58,11.0,21.0
26,25.0,10.0
28,53.0,16.0
44,29.0,24.0
29,17.0,32.0
12,6.0,4.0
16,31.0,25.0
22,26.0,29.0
46,23.0,21.0
6,14.0,20.0
22,26.0,27.0
22,4.0,3.0
21,9.0,26.0
47,25.0,21.0
56,34.0,22.0
2,12.0,19.0
31,26.0,23.0
40,9.0,29.0
24,24.0,17.0
20,37.0,30.0
23,20.0,10.0
14,22.0,39.0
27,13.0,47.0
26,34.0,3.0
10,30.0,6.0
34,24.0,8.0
8,5.0,31.0
52,10.0,23.0
10,54.0,23.0
10,9.0,14.0
16,20.0,26.0
9,17.0,4.0
10,8.0,9.0
68,14.0,12.0
63,16.0,26.0
12,10.0,13.0
13,26.0,9.0
41,39.0,24.0
23,2.0,20.0
28,47.0,20.0
4,15.0,6.0
20,46.0,23.0
9,1.0,38.0
14,30.0,13.0
17,42.0,34.0
17,25.0,23.0
40,16.0,24.0
37,19.0,5.0
17,31.0,4.0
26,29.0,12.0
23,5.0,25.0
12,18.0,10.0
68,19.0,23.0
12,9.0,8.0
40,52.0,14.0
28,31.0,44.0
9,16.0,16.0
37,16.0,33.0
27,3.0,16.0
18,27.0,13.0
35,36.0,39.0
21,36.0,24.0
31,9.0,2.0
33,5.0,12.0
35,50.0,4.0
18,6.0,1.0
32,53.0,16.0
42,36.0,25.0
45,27.0,16.0
39,40.0,29.0
15,42.0,5.0
35,14.0,13.0
18,35.0,19.0
39,13.0,9.0
9,9.0,5.0
28,19.0,22.0
21,25.0,16.0
53,41.0,3.0
6,7.0,27.0
33,29.0,13.0
15,39.0,9.0
34,7.0,5.0
22,11.0,9.0
14,26.0,18.0
18,30.0,6.0
18,44.0,36.0
25,10.0,38.0
18,21.0,25.0
7,27.0,17.0
6,25.0,25.0
40,20.0,13.0
6,35.0,23.0
11,31.0,9.0
30,36.0,25.0
34,16.0,16.0
36,37.0,7.0
25,7.0,29.0
30,25.0,3.0
16,13.0,15.0
41,26.0,8.0
14,41.0,39.0
22,40.0,14.0
36,14.0,20.0
40,15.0,7.0
39,4.0,16.0
38,18.0,11.0
10,38.0,30.0
32,11.0,37.0
15,39.0,25.0
27,14.0,15.0
19,34.0,19.0
32,27.0,38.0
7,38.0,3.0
19,63.0,4.0
11,38.0,27.0
9,26.0,29.0
17,26.0,25.0
14,37.0,20.0
50,22.0,13.0
34,18.0,2.0
2,14.0,13.0
19,40.0,37.0
32,1.0,11.0
43,11.0,7.0
22,8.0,13.0
26,46.0,15.0
13,23.0,4.0
24,16.0,18.0
32,15.0,27.0
13,42.0,14.0
13,16.0,29.0
10,13.0,34.0
11,51.0,26.0
34,42.0,9.0
33,36.0,7.0
40,20.0,14.0
14,56.0,14.0
36,33.0,6.0
26,16.0,22.0
41,35.0,16.0
33,13.0,14.0
13,22.0,40.0
18,26.0,1.0
49,27.0,11.0
34,30.0,8.0
16,21.0,23.0
9,27.0,17.0
41,28.0,16.0
17,50.0,10.0
29,21.0,15.0
12,10.0,12.0
14,21.0,13.0
21,45.0,16.0
38,9.0,36.0
28,12.0,20.0
19,14.0,16.0
10,22.0,2.0
29,32.0,10.0
21,19.0,15.0
24,29.0,35.0
24,12.0,5.0
40,11.0,30.0
21,30.0,21.0
16,7.0,27.0
6,8.0,21.0
16,26.0,9.0
31,75.0,7.0
17,29.0,12.0
28,27.0,14.0
6,17.0,19.0
3,36.0,43.0
36,26.0,32.0
26,9.0,8.0
13,34.0,14.0
16,16.0,24.0
22,14.0,32.0
24,14.0,19.0
31,31.0,4.0
54,33.0,15.0
23,23.0,29.0
24,27.0,18.0
27,34.0,13.0
59,17.0,20.0
61,15.0,11.0
44,10.0,17.0
48,19.0,7.0
3,26.0,26.0
7,6.0,24.0
16,31.0,27.0
47,28.0,20.0
35,17.0,26.0
2,33.0,29.0
30,35.0,9.0
28,28.0,24.0
41,29.0,24.0
29,18.0,4.0
42,23.0,10.0
16,32.0,16.0
35,26.0,23.0
35,20.0,19.0
19,20.0,27.0
22,34.0,10.0
26,37.0,15.0
10,25.0,10.0
16,14.0,26.0
14,37.0,10.0
24,19.0,26.0
19,33.0,6.0
27,10.0,14.0
35,25.0,18.0
38,35.0,6.0
19,51.0,15.0
22,29.0,18.0
12,10.0,17.0
23,12.0,28.0
41,25.0,29.0
47,22.0,29.0
23,22.0,22.0
43,19.0,20.0
5,37.0,11.0
45,47.0,23.0
38,50.0,9.0
34,26.0,11.0
8,23.0,28.0
12,15.0,31.0
37,56.0,29.0
30,13.0,8.0
35,17.0,34.0
42,47.0,20.0
43,42.0,23.0
45,7.0,25.0
26,8.0,14.0
18,17.0,19.0
28,22.0,26.0
31,38.0,10.0
42,17.0,9.0
24,36.0,15.0
11,6.0,35.0
31,12.0,29.0
21,9.0,27.0
37,33.0,10.0
19,31.0,15.0
15,24.0,12.0
61,9.0,16.0
35,22.0,22.0
20,12.0,10.0
13,4.0,22.0
27,20.0,19.0
27,13.0,18.0
19,18.0,33.0
15,17.0,32.0
22,23.0,26.0
16,26.0,23.0
37,37.0,13.0
27,7.0,17.0
26,44.0,23.0
31,60.0,21.0
4,6.0,32.0
7,8.0,7.0
14,9.0,8.0
28,24.0,17.0
26,21.0,31.0
29,16.0,15.0
13,23.0,17.0
15,12.0,6.0
15,29.0,8.0
32,39.0,9.0
12,17.0,14.0
6,35.0,30.0
25,31.0,13.0
25,40.0,17.0
26,11.0,16.0
69,32.0,18.0
37,12.0,9.0
6,8.0,12.0
24,34.0,4.0
14,9.0,20.0
22,21.0,31.0
16,33.0,18.0
18,48.0,13.0
24,16.0,28.0
35,23.0,23.0
29,23.0,7.0
33,33.0,13.0
13,26.0,8.0
15,31.0,9.0
13,34.0,24.0
27,23.0,21.0
16,26.0,16.0
24,4.0,30.0
25,16.0,7.0
31,29.0,25.0
18,48.0,31.0
40,30.0,14.0
19,28.0,26.0
61,16.0,12.0
21,26.0,10.0
7,23.0,11.0
32,14.0,16.0
23,26.0,24.0
15,33.0,12.0
35,27.0,20.0
10,22.0,17.0
15,11.0,17.0
50,59.0,16.0
12,8.0,16.0
40,26.0,33.0
14,21.0,26.0
21,25.0,31.0
21,33.0,15.0
23,34.0,23.0
9,6.0,4.0
29,15.0,13.0
44,27.0,29.0
22,30.0,30.0
15,25.0,16.0
32,24.0,26.0
35,26.0,14.0
16,41.0,31.0
32,8.0,31.0
23,8.0,26.0
24,45.0,27.0
10,35.0,12.0
15,3.0,22.0
29,11.0,26.0
22,45.0,11.0
21,27.0,8.0
56,12.0,26.0
36,31.0,21.0
20,7.0,25.0
39,20.0,9.0
10,31.0,6.0
35,32.0,15.0
43,26.0,19.0
11,17.0,27.0
18,20.0,25.0
32,13.0,8.0
31,31.0,45.0
41,56.0,13.0
21,23.0,3.0
50,45.0,6.0
10,17.0,12.0
13,6.0,7.0
16,34.0,20.0
24,4.0,22.0
17,29.0,6.0
32,38.0,12.0
4,25.0,22.0
25,9.0,17.0
29,64.0,14.0
21,29.0,30.0
61,43.0,13.0
22,11.0,13.0
51,39.0,31.0
28,16.0,33.0
20,43.0,23.0
34,38.0,17.0
27,9.0,36.0
33,14.0,7.0
26,37.0,3.0
29,25.0,17.0
3,54.0,6.0
26,29.0,4.0
21,23.0,29.0
25,29.0,10.0
17,34.0,25.0
22,29.0,24.0
19,43.0,27.0
23,31.0,27.0
28,35.0,30.0
29,24.0,29.0
17,25.0,13.0
22,27.0,11.0
47,19.0,16.0
30,27.0,9.0
10,22.0,14.0
39,23.0,23.0
51,22.0,25.0
47,38.0,23.0
3,24.0,29.0
11,4.0,34.0
25,21.0,15.0
44,30.0,2.0
32,49.0,21.0
15,21.0,10.0
53,29.0,38.0
29,5.0,12.0
17,17.0,19.0
6,33.0,0.0
8,47.0,18.0
31,38.0,22.0
26,45.0,23.0
23,38.0,22.0
23,32.0,24.0
14,15.0,21.0
51,16.0,20.0
26,25.0,30.0
4,28.0,20.0
9,35.0,27.0
25,22.0,14.0
34,12.0,22.0
12,13.0,5.0
11,37.0,17.0
26,24.0,33.0
13,40.0,10.0
9,60.0,6.0
36,22.0,16.0
24,27.0,25.0
37,26.0,8.0
20,16.0,24.0
20,24.0,35.0
28,9.0,12.0
35,24.0,13.0
23,40.0,24.0
6,7.0,42.0
23,13.0,26.0
38,27.0,10.0
37,24.0,38.0
49,15.0,16.0
30,31.0,7.0
22,11.0,19.0
17,28.0,24.0
13,55.0,9.0
34,17.0,21.0
22,18.0,10.0
30,12.0,13.0
24,33.0,24.0
31,12.0,7.0
23,7.0,12.0
24,19.0,13.0
17,49.0,33.0
33,21.0,6.0
5,22.0,15.0
4,22.0,10.0
12,53.0,13.0
25,35.0,11.0
10,4.0,12.0
31,43.0,33.0
23,27.0,7.0
54,16.0,19.0
9,51.0,21.0
20,24.0,16.0
17,47.0,49.0
26,39.0,34.0
17,47.0,4.0
8,24.0,16.0
19,50.0,10.0
27,32.0,27.0
29,16.0,8.0
14,25.0,16.0
44,27.0,24.0
16,22.0,17.0
33,56.0,24.0
16,26.0,27.0
7,14.0,16.0
13,19.0,32.0
10,10.0,22.0
26,30.0,39.0
19,32.0,14.0
39,7.0,19.0
24,41.0,10.0
2,13.0,7.0
47,50.0,44.0
15,58.0,10.0
12,23.0,23.0
4,15.0,15.0
29,18.0,5.0
46,29.0,5.0
1,39.0,18.0
18,14.0,39.0
30,24.0,14.0
16,24.0,28.0
44,31.0,24.0
42,51.0,22.0
25,15.0,31.0
16,24.0,26.0
19,31.0,12.0
31,19.0,15.0
29,38.0,13.0
5,13.0,7.0
13,21.0,15.0
25,7.0,13.0
21,38.0,12.0
18,15.0,19.0
21,24.0,26.0
19,19.0,26.0
9,36.0,20.0
52,20.0,36.0
5,7.0,7.0
31,25.0,24.0
32,24.0,31.0
22,10.0,21.0
16,13.0,10.0
16,25.0,13.0
22,41.0,25.0
3,25.0,31.0
26,36.0,16.0
27,36.0,26.0
16,22.0,18.0
13,48.0,16.0
36,10.0,25.0
36,32.0,7.0
9,28.0,18.0
40,5.0,22.0
5,29.0,23.0
29,33.0,10.0
9,19.0,28.0
18,36.0,5.0
50,9.0,29.0
16,38.0,19.0
46,12.0,36.0
6,39.0,9.0
30,26.0,12.0
53,27.0,28.0
36,23.0,10.0
38,29.0,23.0
37,21.0,29.0
27,22.0,9.0
40,18.0,6.0
24,14.0,22.0
42,18.0,18.0
25,54.0,3.0
26,3.0,26.0
29,31.0,31.0
43,54.0,15.0
17,27.0,27.0
25,23.0,37.0
14,22.0,34.0
35,7.0,23.0
13,9.0,27.0
20,27.0,29.0
23,22.0,7.0
34,12.0,26.0
9,25.0,9.0
19,20.0,25.0
25,7.0,6.0
23,21.0,20.0
19,23.0,10.0
41,33.0,7.0
16,26.0,12.0
7,50.0,21.0
29,38.0,21.0
37,6.0,23.0
3,15.0,33.0
15,36.0,23.0
8,14.0,6.0
39,32.0,19.0
14,21.0,13.0
20,22.0,11.0
7,23.0,15.0
21,11.0,27.0
68,29.0,24.0
16,29.0,28.0
11,41.0,32.0
26,7.0,11.0
30,19.0,14.0
37,32.0,11.0
25,13.0,7.0
26,16.0,39.0
15,30.0,32.0
44,3.0,13.0
27,49.0,16.0
22,35.0,3.0
10,37.0,39.0
21,46.0,35.0
19,13.0,13.0
38,25.0,25.0
33,6.0,10.0
3,20.0,6.0
4,27.0,29.0
27,2.0,2.0
29,10.0,10.0
25,25.0,25.0
20,28.0,43.0
35,18.0,20.0
31,18.0,28.0
36,15.0,18.0
16,44.0,18.0
13,36.0,15.0
2,21.0,25.0
13,25.0,21.0
37,15.0,17.0
33,17.0,3.0
24,8.0,25.0
11,11.0,15.0
7,8.0,19.0
25,47.0,17.0
13,36.0,8.0
26,28.0,11.0
41,19.0,8.0
40,7.0,47.0
14,38.0,17.0
15,27.0,36.0
4,37.0,30.0
18,13.0,25.0
38,35.0,13.0
11,19.0,7.0
39,20.0,0.0
27,27.0,15.0
37,30.0,6.0
14,26.0,35.0
19,36.0,12.0
29,26.0,20.0
34,32.0,28.0
27,32.0,11.0
29,20.0,20.0
38,29.0,39.0
54,24.0,22.0
63,19.0,18.0
32,33.0,36.0
38,38.0,21.0
16,33.0,20.0
26,22.0,4.0
26,11.0,24.0
18,8.0,19.0
9,51.0,18.0
7,36.0,33.0
14,18.0,37.0
14,38.0,7.0
6,41.0,23.0
37,66.0,22.0
22,23.0,18.0
43,78.0,8.0
15,20.0,25.0
18,17.0,26.0
16,14.0,19.0
14,19.0,36.0
40,66.0,23.0
1,54.0,22.0
11,25.0,20.0
8,31.0,14.0
46,30.0,17.0
23,3.0,14.0
17,40.0,19.0
22,37.0,30.0
16,23.0,3.0
16,17.0,25.0
10,46.0,11.0
10,36.0,23.0
15,55.0,17.0
15,33.0,19.0
12,20.0,36.0
42,19.0,29.0
16,31.0,1.0
13,9.0,29.0
51,11.0,31.0
35,18.0,11.0
54,19.0,9.0
16,33.0,25.0
42,21.0,11.0
36,3.0,24.0
20,25.0,19.0
56,22.0,13.0
33,30.0,38.0
16,23.0,9.0
2,40.0,3.0
30,64.0,19.0
10,13.0,36.0
15,26.0,16.0
35,31.0,23.0
13,40.0,27.0
5,32.0,11.0
54,17.0,19.0
16,27.0,24.0
22,45.0,13.0
26,34.0,21.0
27,19.0,31.0
26,29.0,32.0
30,17.0,17.0
24,11.0,24.0
36,17.0,29.0
49,23.0,19.0
21,33.0,29.0
27,39.0,17.0
28,37.0,11.0
50,11.0,22.0
21,48.0,33.0
30,29.0,17.0
10,34.0,23.0
21,34.0,18.0
45,34.0,33.0
9,2.0,4.0
7,25.0,13.0
8,48.0,22.0
12,28.0,19.0
14,33.0,11.0
19,40.0,34.0
43,36.0,23.0
58,15.0,22.0
32,40.0,13.0
8,10.0,2.0
14,49.0,13.0
24,19.0,33.0
22,11.0,20.0
32,36.0,3.0
19,20.0,19.0
4,20.0,14.0
15,14.0,23.0
29,5.0,14.0
